session_id,mitre_tactic_reconnaissance,mitre_tactic_resource_development,mitre_tactic_initial_access,mitre_tactic_execution,mitre_tactic_persistence,mitre_tactic_privilege_escalation,mitre_tactic_defense_evasion,mitre_tactic_credential_access,mitre_tactic_discovery,mitre_tactic_lateral_movement,mitre_tactic_collection,mitre_tactic_command_and_control,mitre_tactic_exfiltration,mitre_tactic_impact,mitre_severity_max,mitre_severity_mean,mitre_severity_weighted,mitre_kill_chain_score,mitre_unique_technique_count,mitre_total_commands,mitre_matched_commands,mitre_severity_tier,mitre_technique_ids
b5e8693e1dfb,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
0e5f6444448f,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
989a99f012bd,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
67b23dec68a5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
9962e757cbc0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
3139c0b4c7cf,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
cee993819921,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
5e69d30d16a6,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
014f6eb094f7,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
028723045d28,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
75b451c3ae36,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
